ID;URL;Titel;Beschreibung;Ort;sozioek;ereichbar_zug;phys;klima_umwelt;datentypen;Komm;Portaltyp;amsta;fachda;opendportal;geodatenportal;Ebene;Adresse_Herausgeber;Geodaten;lon;lat1;geprüft;Lizenz
2;http://www.geoportal-bw.de;GDI Baden-Württemberg;Die Amtliche informations- und Kommunikationsplattform des Landes Baden-Würtenberg dient als Zugangsknoten zur Geodateninfrastruktur des Landes und informiert über aktuelle Entwicklungen und Projekte. Angeboten werden Datensuche und interaktive Dartstellung von Geodaten für Verwaltung, Wirtschaft, Wissenschaft und den Bürger. (Stand: 26.10.2017);Baden-Württemberg; ; ;JA; ; ; ;geoda; ; ; ;JA;regional;Büchsenstraße 54, 70174 Stuttgart;ja;9.07099978003272;48.7653684436108; ; 
3;https://geoportal.bayern.de/;GDI Bayern;Knotenpunkt der Geodatenifrastruktur der bayrischen Landesregierung: Zugriff u.a. auf das Geoportal Bayern, den BayernAtlas, das Bayrische Frachinformationssystem Naturschutz, das integrierte Bayerische Landwirtschaftliche Informations-System (iBALIS), das Bodeninformationssystem Bayern und den Bayerischen Denkmal-Atlas. (Stand: 7.11.2017);Bayern; ; ;JA; ; ; ;geoda; ; ; ;JA;regional;Alexandrastraße 4, 80538 München;ja;11.4715770145142;48.1471849494012; ; 
4;https://opendata.bayern.de/;Open Data Portal des Freistaats Bayern;Open Data Portal der bayrischen Landesregierung (Stand: 22.6.2018);Bayern;JA; ;JA;JA; ; ;odp; ; ;JA; ;regional;Odeonsplatz 4, 80539 München; ;11.5092985918162;48.0788256582541; ; 
5;http://www.stadtentwicklung.berlin.de/geoinformation/;GDI Berlin;Das Geoportal Berlin bietet Informationen und Zugang zur Geodateninfrastruktur des Landes, der Landesvermessung, Liegenschaftskataster, Grundstückswerten und dem Umweltatlas Berlin (Stand: 26.10.2017);Berlin; ; ;JA; ; ; ;geoda; ; ; ;JA;regional;Württembergische Straße 6, 10707 Berlin;ja;13.3012979382984;52.4963448632278; ; 
6;http://daten.berlin.de/;Offene Daten Berlin;Open Data Portal der Stadt Berlin (Stand: 22.6.2018);Berlin;JA; ;JA;JA; ; ;odp; ; ;JA; ;regional;Martin-Luther-Straße 105, 10825 Berlin; ;13.3250916674199;52.4301518222278; ; 
7;https://www.bochum.de/opendata;Bochum Open Data;„Online-Anwendungen und verschiedene Datensätze der Stadtverwaltung Bochum.“ (Stand 26.10.2017);Bochum;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Willy-Brandt-Platz 2-6, 44787 Bochum; ;7.22127681633365;51.4419461208343; ; 
8;https://opendata.bonn.de/;Open Data Katalog Bonn;„Dieses Open Data Portal richtet sich in erster Linie an IT-Entwickler, die mit den angebotenen Datensätze Anwendungen erstellen möchten. So können die Datensätze z.B. für wissenschaftliche Zwecke und Bildungseinrichtungen, für bürgerschaftliches Engagement oder die Anwendungsentwicklung von Internetangeboten bzw. Apps, auch für die kommerzielle Weiternutzung, frei verwendet werden.“ (Quelle: Open Data Katalog Bonn, abgerufen am 26.10.2017);Bonn;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Bundesstadt Bonn, Berliner Platz 2, 53111 Bonn; ;7.13042708471049;50.7548943554456; ; 
9;https://geoportal.brandenburg.de/;GDI Brandenburg;„Das Land Brandenburg bietet den Nutzern und Anbietern von Geodaten mit dem Geoportal Brandenburg einen zentralen Zugang zu Geodaten. Einfach und komfortabel können Geodaten gesucht und dargestellt werden. Der Zugriff auf verteilte Geodatenbestände wird somit von einer zentralen Stelle aus möglich.“ (Quelle: GDI Brandenburg, abgerufen am 26.10.2017);Brandenburg; ; ;JA; ; ; ;geoda; ; ; ;JA;regional;Heinrich-Mann-Allee 103, 14473 Potsdam;ja;13.1928483105567;52.4817423179311; ; 
10;http://www.braunschweig.de/leben/stadtplanung_bauen/geoinformationen/opengeodata.html;Braunschweig Open GeoData;„Die Stadt Braunschweig veröffentlicht an dieser Stelle ausgewählte Geodaten zur freien Verwendung durch die Bevölkerung, Vereine, Kongressveranstalter und Gewerbeunternehmen.“ (Quelle: Braunschweig OpenGeoData, abgerufen am 26.10.2017);Braunschweig; ; ;JA; ; ; ;geoda; ; ; ;JA;kommunal;Platz der Deutschen Einheit 1, 38100 Braunschweig;ja;10.511176054665;52.3120955565533; ; 
11;http://gdi.bremen.de/;GDI Bremen;„Die Geodateninfrastruktur der Freien Hansestadt Bremen (GDI-FHB) hat zum Ziel, die in den Verwaltungen des Landes, bei der Stadt Bremen und beim Magistrat Bremerhaven vorhandenen Geodaten und Geodatendienste für Politik, Verwaltung, Wirtschaft, Wissenschaft und Öffentlichkeit zu vernetzen, verfügbar zu machen und deren Nutzung zu erleichtern.“  (Quelle: GDI Bremen, abgerufen am 26.10.2017);Bremen;JA; ;JA; ; ; ;geoda; ; ; ;JA;regional;Lloydstr. 4, 28217 Bremen;ja;8.74236676283885;53.0864838040096; ; 
12;http://transparenz.bremen.de/;Transparenzportal Bremen;„Das Bremische Transparenzportal wird aus über 150 technischen Systemen mit Dokumenten und Datensätzen (Open Data) beliefert. Wenn die Schulen mitgerechnet werden, beliefern sogar über 200 Systeme das Portal. Dabei werden die Daten teilweise manuell eingestellt oder gelangen automatisiert in das Transparenzportal.“ (Quelle: Transparenzportal Bremen. Technischer Aufbau und Funktionsweise des Transparenzportals, abgerufen am 26.10.2017);Bremen;JA; ;JA;JA; ; ;odp; ; ;JA; ;regional;Rudolf-Hilferding-Platz 1, 28195 Bremen; ;8.83894486539426;53.1087483696347; ; 
13;https://portal-chemnitz.opendata.arcgis.com/;Open Data Stadt Chemnitz;Open-Data-Portal der Stadt Chemnitz (Stand: 22.6.2018);Chemnitz;JA; ;JA;JA; ; ;odp; ; ;JA; ;kommunal;Markt 1, 09111 Chemnitz,; ;12.9295439;50.8440895971078; ; 
14;https://gdz.bkg.bund.de/index.php/default/open-data.html;Bundesamt für Kartographie und Geodäsie (BKG) - Open Data: Freie Daten und Dienste;Das BKG stellt für ganz Deutschland u.a. offene Daten bereit: Digitale Landschaftsmodelle (DLM), Digitale Geländemodelle (DGM), Digitale Topographische Karten (DTK), Digitale Orthophotos (DOP), Übersichtkarten (ÜK), Verwaltungsgebiete (VG, NUTS, VZ), Geographische Namen (GN), Geographische Gitter (GeoGitter), Landschaften Deutschlands, KFZ-Kennzeichen, ein Deutschlandmosaik aus Sentinel-2-Daten, sowie eine weltweite Webkarte (TopPlusOpen);Deutschland; ; ;JA; ;shape, grid, ascII; ;geoda; ; ; ;JA;national;Richard-Strauss-Allee 11, 60598 Frankfurt am Main;ja;8.76335151545757;50.0942111575517;1/7/2021;Datenlizenz Deutschland - Namensnennung - Version 2.0
16;http://www.geoportal.de/;GDI-DE - Geodaten aus Deutschland;Die Suchmaschine für Geodaten ermöglicht den Zugriff auf Landkarten, Luftbilder oder Themenkarten zu verschiedensten Themen.Geoportal.de ist ein Service von Bund, Ländern und Kommunen.;Deutschland;JA;JA;JA;JA;WMS, WFS, xml; ;geoda; ; ;JA;JA;national;Richard-Strauss-Allee 11, 60598 Frankfurt am Main;ja;8.69151626331216;50.0410360857202;1/7/2021;je nach Ressource ausgewiesen
18;https://www-genesis.destatis.de/;Destatis - Statistisches Bundesamt;amtlichen Statistik des Statistischen Bundesamtes mit Gliederungstiefen bis auf Kreisbene;Deutschland;JA; ;JA;JA;xlsx, csv, flat, xml; ;amsta;JA; ; ; ;national;Gustav-Stresemann-Ring 11, D-65189 Wiesbaden; ;8.28134124691173;50.1431418939419;1/7/2021;Datenlizenz Deutschland - Namensnennung - Version 2.0
19;http://data.deutschebahn.com/;Deutsche Bahn Open Data;Offene Daten zu  Infrastruktur und Mobilität;Deutschland; ;JA; ; ;csv, xlsx, xml, geojson, esri shape; ;odp; ; ;JA; ;national;Potsdamer Platz 2 10785 Berlin;ja;13.2675070748899;52.5276615371546;1/7/2021;Creative Commons Attribution 4.0 International (CC BY 4.0).
20;http://opendata.esri-de.opendata.arcgis.com/;Esri Deutschland Open Data Portal;Open (Geo-)Data, Karten und Apps aus Deutschland zum Download. Das Portal stellt in ArcGIS Online veröffentlichte Open Data-Beiträge von Kunden und von Esri Deutschland sowie ausgewählte und republizierte Open Data aus fremden Portalen bereit.;Deutschland;JA;JA;JA;JA;GeoJSON, shape, csv, geodatabase, kml; ;geoda; ; ;JA;JA;national;Esri Deutschland GmbH, Ringstraße 7, 85402 Kranzberg;ja;11.6564320618947;48.4235352459243;1/7/2021;je nach Ressource ausgewiesen
22;http://offenedaten.de/;Citizen Project Open Data;Datenkatalog für offene Daten in Deutschland.;Deutschland;JA;JA;JA;JA;xlsx, csv, xml, wms, gml; ;odp; ; ;JA; ;national;Singerstr. 109, 10179 Berlin;ja;13.5196384509117;52.4722296242416;1/7/2021;je nach Ressource ausgewiesen
